run_name,best_val_loss,best_iter,final_val_loss,final_train_loss
G1_ternary_weights,1.4602408409118652,4437.5,,
D1_relu,1.464680165052414,2000.0,,
C1_1_head,1.4674586057662964,2875.0,,
F1_context_128,1.4686602056026459,3125.0,,
C2_8_heads,1.4697725474834442,1875.0,,
E1_scaled_residual,1.4714464247226715,1812.5,,
B1_rmsnorm,1.4722284972667694,1812.5,,
A2_rope,1.4723202586174011,1500.0,,
baseline,1.4743346869945526,1687.5,,
C3_12_heads,1.4744766354560852,1812.5,,
F2_context_512,1.4759758710861206,1375.0,,
B2_post_ln,1.4860042035579681,2250.0,,
A3_alibi,1.4928008615970612,1312.5,,
D2_swiglu,1.5045453906059265,1437.5,,
A1_no_pos_encoding,1.5282351672649384,3000.0,,
E2_no_residuals,3.351726770401001,1625.0,,
